,users,component,instances,RAM,CPU,STORAGE,technology
70,467,framework,1,33,9,602.5,iaas
71,467,rel_db,1,25,9,102.5,iaas
72,61,nginx,1,18,14,288,iaas
73,61,framework,1,33,9,602.5,iaas
74,61,rel_db,1,25,9,102.5,iaas
75,399,nginx,1,18,14,288,iaas
76,399,framework,1,33,9,602.5,iaas
77,399,rel_db,1,25,9,102.5,iaas
78,181,nginx,1,18,14,288,iaas
79,181,framework,1,33,9,602.5,iaas
80,181,rel_db,1,25,9,102.5,iaas
81,974,nginx,1,18,14,288,iaas
82,974,framework,1,33,9,602.5,iaas
83,974,rel_db,1,25,9,102.5,iaas
84,955,nginx,1,18,14,288,iaas
85,955,framework,1,33,9,602.5,iaas
86,955,rel_db,1,25,9,102.5,iaas
87,283,nginx,1,18,14,288,iaas
88,283,framework,1,33,9,602.5,iaas
89,283,rel_db,1,25,9,102.5,iaas
90,378,nginx,1,18,14,288,iaas
91,378,framework,1,33,9,602.5,iaas
92,378,rel_db,1,25,9,102.5,iaas
93,740,nginx,1,18,14,288,iaas
94,740,framework,1,33,9,602.5,iaas
95,740,rel_db,1,25,9,102.5,iaas
96,241,nginx,1,18,14,288,iaas
97,241,framework,1,33,9,602.5,iaas
98,241,rel_db,1,25,9,102.5,iaas
99,486,nginx,1,18,14,288,iaas
100,486,framework,1,33,9,602.5,iaas
101,486,rel_db,1,25,9,102.5,iaas
102,585,nginx,1,18,14,288,iaas
103,585,framework,1,33,9,602.5,iaas
104,585,rel_db,1,25,9,102.5,iaas
105,708,nginx,1,18,14,288,iaas
106,708,framework,1,33,9,602.5,iaas
107,708,rel_db,1,25,9,102.5,iaas
108,613,nginx,1,18,14,288,iaas
109,613,framework,1,33,9,602.5,iaas
110,613,rel_db,1,25,9,102.5,iaas
111,1023,nginx,1,18,14,288,iaas
112,1023,framework,1,33,9,602.5,iaas
113,1023,rel_db,1,25,9,102.5,iaas
114,50,nginx,1,18,14,288,iaas
115,50,framework,1,33,9,602.5,iaas
116,50,rel_db,1,25,9,102.5,iaas
117,41,nginx,1,18,14,288,iaas
118,41,framework,1,33,9,602.5,iaas
119,41,rel_db,1,25,9,102.5,iaas
120,630,nginx,1,18,14,288,iaas
121,630,framework,1,33,9,602.5,iaas
122,630,rel_db,1,25,9,102.5,iaas
123,547,nginx,1,18,14,288,iaas
124,547,framework,1,33,9,602.5,iaas
125,547,rel_db,1,25,9,102.5,iaas
126,67,nginx,1,18,14,288,iaas
127,67,framework,1,33,9,602.5,iaas
128,67,rel_db,1,25,9,102.5,iaas
129,770,nginx,1,18,14,288,iaas
130,770,framework,1,33,9,602.5,iaas
131,770,rel_db,1,25,9,102.5,iaas
132,380,nginx,1,18,14,288,iaas
133,380,framework,1,33,9,602.5,iaas
134,380,rel_db,1,25,9,102.5,iaas
135,839,nginx,1,18,14,288,iaas
136,839,framework,1,33,9,602.5,iaas
137,839,rel_db,1,25,9,102.5,iaas
138,440,nginx,1,18,14,288,iaas
139,440,framework,1,33,9,602.5,iaas
140,440,rel_db,1,25,9,102.5,iaas
141,499,nginx,1,18,14,288,iaas
142,499,framework,1,33,9,602.5,iaas
143,499,rel_db,1,25,9,102.5,iaas
144,615,nginx,1,18,14,288,iaas
145,615,framework,1,33,9,602.5,iaas
146,615,rel_db,1,25,9,102.5,iaas
147,265,nginx,1,18,14,288,iaas
148,265,framework,1,33,9,602.5,iaas
149,265,rel_db,1,25,9,102.5,iaas
150,271,nginx,1,18,14,288,iaas
151,271,framework,1,33,9,602.5,iaas
152,271,rel_db,1,25,9,102.5,iaas
153,237,nginx,1,18,14,288,iaas
154,237,framework,1,33,9,602.5,iaas
155,237,rel_db,1,25,9,102.5,iaas
156,962,nginx,1,18,14,288,iaas
157,962,framework,1,33,9,602.5,iaas
158,962,rel_db,1,25,9,102.5,iaas
159,599,nginx,1,18,14,288,iaas
160,599,framework,1,33,9,602.5,iaas
161,599,rel_db,1,25,9,102.5,iaas
162,592,nginx,1,18,14,288,iaas
163,592,framework,1,33,9,602.5,iaas
164,592,rel_db,1,25,9,102.5,iaas
165,540,nginx,1,18,14,288,iaas
166,540,framework,1,33,9,602.5,iaas
167,540,rel_db,1,25,9,102.5,iaas
168,1012,nginx,1,18,14,288,iaas
169,1012,framework,1,33,9,602.5,iaas
170,1012,rel_db,1,25,9,102.5,iaas
171,695,nginx,1,18,14,288,iaas
172,695,framework,1,33,9,602.5,iaas
173,695,rel_db,1,25,9,102.5,iaas
174,1022,nginx,1,18,14,288,iaas
175,1022,framework,1,33,9,602.5,iaas
176,1022,rel_db,1,25,9,102.5,iaas
177,44,nginx,1,18,14,288,iaas
178,44,framework,1,33,9,602.5,iaas
179,44,rel_db,1,25,9,102.5,iaas
180,676,nginx,1,18,14,288,iaas
181,676,framework,1,33,9,602.5,iaas
182,676,rel_db,1,25,9,102.5,iaas
183,742,nginx,1,18,14,288,iaas
184,742,framework,1,33,9,602.5,iaas
185,742,rel_db,1,25,9,102.5,iaas
186,477,nginx,1,18,14,288,iaas
187,477,framework,1,33,9,602.5,iaas
188,477,rel_db,1,25,9,102.5,iaas
189,844,nginx,1,18,14,288,iaas
190,844,framework,1,33,9,602.5,iaas
191,844,rel_db,1,25,9,102.5,iaas
192,769,nginx,1,18,14,288,iaas
193,769,framework,1,33,9,602.5,iaas
194,769,rel_db,1,25,9,102.5,iaas
195,890,nginx,1,18,14,288,iaas
196,890,framework,1,33,9,602.5,iaas
197,890,rel_db,1,25,9,102.5,iaas
198,103,nginx,1,18,14,288,iaas
199,103,framework,1,33,9,602.5,iaas
200,103,rel_db,1,25,9,102.5,iaas
201,517,nginx,1,18,14,288,iaas
202,517,framework,1,33,9,602.5,iaas
203,517,rel_db,1,25,9,102.5,iaas
204,270,nginx,1,18,14,288,iaas
205,270,framework,1,33,9,602.5,iaas
206,270,rel_db,1,25,9,102.5,iaas
207,975,nginx,1,18,14,288,iaas
208,975,framework,1,33,9,602.5,iaas
209,975,rel_db,1,25,9,102.5,iaas
210,1001,nginx,1,18,14,288,iaas
211,1001,framework,1,33,9,602.5,iaas
212,1001,rel_db,1,25,9,102.5,iaas
213,726,nginx,1,18,14,288,iaas
214,726,framework,1,33,9,602.5,iaas
215,726,rel_db,1,25,9,102.5,iaas
216,876,nginx,1,18,14,288,iaas
217,876,framework,1,33,9,602.5,iaas
218,876,rel_db,1,25,9,102.5,iaas
219,196,nginx,1,18,14,288,iaas
220,196,framework,1,33,9,602.5,iaas
221,196,rel_db,1,25,9,102.5,iaas
222,272,nginx,1,18,14,288,iaas
223,272,framework,1,33,9,602.5,iaas
224,272,rel_db,1,25,9,102.5,iaas
225,719,nginx,1,18,14,288,iaas
226,719,framework,1,33,9,602.5,iaas
227,719,rel_db,1,25,9,102.5,iaas
228,476,nginx,1,18,14,288,iaas
229,476,framework,1,33,9,602.5,iaas
230,476,rel_db,1,25,9,102.5,iaas
231,25,nginx,1,18,14,288,iaas
232,25,framework,1,33,9,602.5,iaas
233,25,rel_db,1,25,9,102.5,iaas
234,126,nginx,1,18,14,288,iaas
235,126,framework,1,33,9,602.5,iaas
236,126,rel_db,1,25,9,102.5,iaas
237,190,nginx,1,18,14,288,iaas
238,190,framework,1,33,9,602.5,iaas
239,190,rel_db,1,25,9,102.5,iaas
240,282,nginx,1,18,14,288,iaas
241,282,framework,1,33,9,602.5,iaas
242,282,rel_db,1,25,9,102.5,iaas
243,728,nginx,1,18,14,288,iaas
244,728,framework,1,33,9,602.5,iaas
245,728,rel_db,1,25,9,102.5,iaas
246,843,nginx,1,18,14,288,iaas
247,843,framework,1,33,9,602.5,iaas
248,843,rel_db,1,25,9,102.5,iaas
249,922,nginx,1,18,14,288,iaas
250,922,framework,1,33,9,602.5,iaas
251,922,rel_db,1,25,9,102.5,iaas
252,819,nginx,1,18,14,288,iaas
253,819,framework,1,33,9,602.5,iaas
254,819,rel_db,1,25,9,102.5,iaas
255,413,nginx,1,18,14,288,iaas
256,413,framework,1,33,9,602.5,iaas
257,413,rel_db,1,25,9,102.5,iaas
258,419,nginx,1,18,14,288,iaas
259,419,framework,1,33,9,602.5,iaas
260,419,rel_db,1,25,9,102.5,iaas
261,484,nginx,1,18,14,288,iaas
262,484,framework,1,33,9,602.5,iaas
263,484,rel_db,1,25,9,102.5,iaas
264,176,nginx,1,18,14,288,iaas
265,176,framework,1,33,9,602.5,iaas
266,176,rel_db,1,25,9,102.5,iaas
267,344,nginx,1,18,14,288,iaas
268,344,framework,1,33,9,602.5,iaas
269,344,rel_db,1,25,9,102.5,iaas
270,1007,nginx,1,18,14,288,iaas
271,1007,framework,1,33,9,602.5,iaas
272,1007,rel_db,1,25,9,102.5,iaas
273,392,nginx,1,18,14,288,iaas
274,392,framework,1,33,9,602.5,iaas
275,392,rel_db,1,25,9,102.5,iaas
276,163,nginx,1,18,14,288,iaas
277,163,framework,1,33,9,602.5,iaas
278,163,rel_db,1,25,9,102.5,iaas
279,543,nginx,1,18,14,288,iaas
280,543,framework,1,33,9,602.5,iaas
281,543,rel_db,1,25,9,102.5,iaas
282,348,nginx,1,18,14,288,iaas
283,348,framework,1,33,9,602.5,iaas
284,348,rel_db,1,25,9,102.5,iaas
285,677,nginx,1,18,14,288,iaas
286,677,framework,1,33,9,602.5,iaas
287,677,rel_db,1,25,9,102.5,iaas
288,211,nginx,1,18,14,288,iaas
289,211,framework,1,33,9,602.5,iaas
290,211,rel_db,1,25,9,102.5,iaas
291,1014,nginx,1,18,14,288,iaas
292,1014,framework,1,33,9,602.5,iaas
293,1014,rel_db,1,25,9,102.5,iaas
294,538,nginx,1,18,14,288,iaas
295,538,framework,1,33,9,602.5,iaas
296,538,rel_db,1,25,9,102.5,iaas
297,342,nginx,1,18,14,288,iaas
298,342,framework,1,33,9,602.5,iaas
299,342,rel_db,1,25,9,102.5,iaas
300,3971,nginx,4,72,56,1152,iaas
301,3971,framework,1,33,9,602.5,iaas
302,3971,rel_db,1,25,9,102.5,iaas
303,2554,nginx,3,54,42,864,iaas
304,2554,framework,1,33,9,602.5,iaas
305,2554,rel_db,1,25,9,102.5,iaas
306,3577,nginx,4,72,56,1152,iaas
307,3577,framework,1,33,9,602.5,iaas
308,3577,rel_db,1,25,9,102.5,iaas
309,4703,nginx,5,90,70,1440,iaas
310,4703,framework,1,33,9,602.5,iaas
311,4703,rel_db,1,25,9,102.5,iaas
312,3816,nginx,4,72,56,1152,iaas
313,3816,framework,1,33,9,602.5,iaas
314,3816,rel_db,1,25,9,102.5,iaas
315,1706,nginx,2,36,28,576,iaas
316,1706,framework,1,33,9,602.5,iaas
317,1706,rel_db,1,25,9,102.5,iaas
318,2704,nginx,3,54,42,864,iaas
319,2704,framework,1,33,9,602.5,iaas
320,2704,rel_db,1,25,9,102.5,iaas
321,4309,nginx,5,90,70,1440,iaas
322,4309,framework,1,33,9,602.5,iaas
323,4309,rel_db,1,25,9,102.5,iaas
324,4169,nginx,5,90,70,1440,iaas
325,4169,framework,1,33,9,602.5,iaas
326,4169,rel_db,1,25,9,102.5,iaas
327,1414,nginx,2,36,28,576,iaas
328,1414,framework,1,33,9,602.5,iaas
329,1414,rel_db,1,25,9,102.5,iaas
330,3483,nginx,4,72,56,1152,iaas
331,3483,framework,1,33,9,602.5,iaas
332,3483,rel_db,1,25,9,102.5,iaas
333,3433,nginx,4,72,56,1152,iaas
334,3433,framework,1,33,9,602.5,iaas
335,3433,rel_db,1,25,9,102.5,iaas
336,3591,nginx,4,72,56,1152,iaas
337,3591,framework,1,33,9,602.5,iaas
338,3591,rel_db,1,25,9,102.5,iaas
339,4049,nginx,4,72,56,1152,iaas
340,4049,framework,1,33,9,602.5,iaas
341,4049,rel_db,1,25,9,102.5,iaas
342,4997,nginx,5,90,70,1440,iaas
343,4997,framework,1,33,9,602.5,iaas
344,4997,rel_db,1,25,9,102.5,iaas
345,1507,nginx,2,36,28,576,iaas
346,1507,framework,1,33,9,602.5,iaas
347,1507,rel_db,1,25,9,102.5,iaas
348,1958,nginx,2,36,28,576,iaas
349,1958,framework,1,33,9,602.5,iaas
350,1958,rel_db,1,25,9,102.5,iaas
351,3469,nginx,4,72,56,1152,iaas
352,3469,framework,1,33,9,602.5,iaas
353,3469,rel_db,1,25,9,102.5,iaas
354,1693,nginx,2,36,28,576,iaas
355,1693,framework,1,33,9,602.5,iaas
356,1693,rel_db,1,25,9,102.5,iaas
357,1338,nginx,2,36,28,576,iaas
358,1338,framework,1,33,9,602.5,iaas
359,1338,rel_db,1,25,9,102.5,iaas
360,4982,nginx,5,90,70,1440,iaas
361,4982,framework,1,33,9,602.5,iaas
362,4982,rel_db,1,25,9,102.5,iaas
363,3990,nginx,4,72,56,1152,iaas
364,3990,framework,1,33,9,602.5,iaas
365,3990,rel_db,1,25,9,102.5,iaas
366,2947,nginx,3,54,42,864,iaas
367,2947,framework,1,33,9,602.5,iaas
368,2947,rel_db,1,25,9,102.5,iaas
369,1627,nginx,2,36,28,576,iaas
370,1627,framework,1,33,9,602.5,iaas
371,1627,rel_db,1,25,9,102.5,iaas
372,1041,nginx,2,36,28,576,iaas
373,1041,framework,1,33,9,602.5,iaas
374,1041,rel_db,1,25,9,102.5,iaas
375,3984,nginx,4,72,56,1152,iaas
376,3984,framework,1,33,9,602.5,iaas
377,3984,rel_db,1,25,9,102.5,iaas
378,3470,nginx,4,72,56,1152,iaas
379,3470,framework,1,33,9,602.5,iaas
380,3470,rel_db,1,25,9,102.5,iaas
381,1441,nginx,2,36,28,576,iaas
382,1441,framework,1,33,9,602.5,iaas
383,1441,rel_db,1,25,9,102.5,iaas
384,4896,nginx,5,90,70,1440,iaas
385,4896,framework,1,33,9,602.5,iaas
386,4896,rel_db,1,25,9,102.5,iaas
387,2899,nginx,3,54,42,864,iaas
388,2899,framework,1,33,9,602.5,iaas
389,2899,rel_db,1,25,9,102.5,iaas
390,4855,nginx,5,90,70,1440,iaas
391,4855,framework,1,33,9,602.5,iaas
392,4855,rel_db,1,25,9,102.5,iaas
393,2582,nginx,3,54,42,864,iaas
394,2582,framework,1,33,9,602.5,iaas
395,2582,rel_db,1,25,9,102.5,iaas
396,1208,nginx,2,36,28,576,iaas
397,1208,framework,1,33,9,602.5,iaas
398,1208,rel_db,1,25,9,102.5,iaas
399,3399,nginx,4,72,56,1152,iaas
400,3399,framework,1,33,9,602.5,iaas
401,3399,rel_db,1,25,9,102.5,iaas
402,4295,nginx,5,90,70,1440,iaas
403,4295,framework,1,33,9,602.5,iaas
404,4295,rel_db,1,25,9,102.5,iaas
405,3032,nginx,3,54,42,864,iaas
406,3032,framework,1,33,9,602.5,iaas
407,3032,rel_db,1,25,9,102.5,iaas
408,3301,nginx,4,72,56,1152,iaas
409,3301,framework,1,33,9,602.5,iaas
410,3301,rel_db,1,25,9,102.5,iaas
411,3856,nginx,4,72,56,1152,iaas
412,3856,framework,1,33,9,602.5,iaas
413,3856,rel_db,1,25,9,102.5,iaas
414,2995,nginx,3,54,42,864,iaas
415,2995,framework,1,33,9,602.5,iaas
416,2995,rel_db,1,25,9,102.5,iaas
417,2358,nginx,3,54,42,864,iaas
418,2358,framework,1,33,9,602.5,iaas
419,2358,rel_db,1,25,9,102.5,iaas
420,2801,nginx,3,54,42,864,iaas
421,2801,framework,1,33,9,602.5,iaas
422,2801,rel_db,1,25,9,102.5,iaas
423,4762,nginx,5,90,70,1440,iaas
424,4762,framework,1,33,9,602.5,iaas
425,4762,rel_db,1,25,9,102.5,iaas
426,4244,nginx,5,90,70,1440,iaas
427,4244,framework,1,33,9,602.5,iaas
428,4244,rel_db,1,25,9,102.5,iaas
429,1687,nginx,2,36,28,576,iaas
430,1687,framework,1,33,9,602.5,iaas
431,1687,rel_db,1,25,9,102.5,iaas
432,4246,nginx,5,90,70,1440,iaas
433,4246,framework,1,33,9,602.5,iaas
434,4246,rel_db,1,25,9,102.5,iaas
435,4466,nginx,5,90,70,1440,iaas
436,4466,framework,1,33,9,602.5,iaas
437,4466,rel_db,1,25,9,102.5,iaas
438,2182,nginx,3,54,42,864,iaas
439,2182,framework,1,33,9,602.5,iaas
440,2182,rel_db,1,25,9,102.5,iaas
441,3432,nginx,4,72,56,1152,iaas
442,3432,framework,1,33,9,602.5,iaas
443,3432,rel_db,1,25,9,102.5,iaas
444,2082,nginx,3,54,42,864,iaas
445,2082,framework,1,33,9,602.5,iaas
446,2082,rel_db,1,25,9,102.5,iaas
447,2657,nginx,3,54,42,864,iaas
448,2657,framework,1,33,9,602.5,iaas
449,2657,rel_db,1,25,9,102.5,iaas
450,4142,nginx,5,90,70,1440,iaas
451,4142,framework,1,33,9,602.5,iaas
452,4142,rel_db,1,25,9,102.5,iaas
453,1983,nginx,2,36,28,576,iaas
454,1983,framework,1,33,9,602.5,iaas
455,1983,rel_db,1,25,9,102.5,iaas
456,3687,nginx,4,72,56,1152,iaas
457,3687,framework,1,33,9,602.5,iaas
458,3687,rel_db,1,25,9,102.5,iaas
459,1120,nginx,2,36,28,576,iaas
460,1120,framework,1,33,9,602.5,iaas
461,1120,rel_db,1,25,9,102.5,iaas
462,1404,nginx,2,36,28,576,iaas
463,1404,framework,1,33,9,602.5,iaas
464,1404,rel_db,1,25,9,102.5,iaas
465,4162,nginx,5,90,70,1440,iaas
466,4162,framework,1,33,9,602.5,iaas
467,4162,rel_db,1,25,9,102.5,iaas
468,2838,nginx,3,54,42,864,iaas
469,2838,framework,1,33,9,602.5,iaas
470,2838,rel_db,1,25,9,102.5,iaas
471,2301,nginx,3,54,42,864,iaas
472,2301,framework,1,33,9,602.5,iaas
473,2301,rel_db,1,25,9,102.5,iaas
474,4454,nginx,5,90,70,1440,iaas
475,4454,framework,1,33,9,602.5,iaas
476,4454,rel_db,1,25,9,102.5,iaas
477,4418,nginx,5,90,70,1440,iaas
478,4418,framework,1,33,9,602.5,iaas
479,4418,rel_db,1,25,9,102.5,iaas
480,4446,nginx,5,90,70,1440,iaas
481,4446,framework,1,33,9,602.5,iaas
482,4446,rel_db,1,25,9,102.5,iaas
483,3348,nginx,4,72,56,1152,iaas
484,3348,framework,1,33,9,602.5,iaas
485,3348,rel_db,1,25,9,102.5,iaas
486,3298,nginx,4,72,56,1152,iaas
487,3298,framework,1,33,9,602.5,iaas
488,3298,rel_db,1,25,9,102.5,iaas
489,4134,nginx,5,90,70,1440,iaas
490,4134,framework,1,33,9,602.5,iaas
491,4134,rel_db,1,25,9,102.5,iaas
492,2340,nginx,3,54,42,864,iaas
493,2340,framework,1,33,9,602.5,iaas
494,2340,rel_db,1,25,9,102.5,iaas
495,3140,nginx,4,72,56,1152,iaas
496,3140,framework,1,33,9,602.5,iaas
497,3140,rel_db,1,25,9,102.5,iaas
498,2602,nginx,3,54,42,864,iaas
499,2602,framework,1,33,9,602.5,iaas
500,2602,rel_db,1,25,9,102.5,iaas
501,3919,nginx,4,72,56,1152,iaas
502,3919,framework,1,33,9,602.5,iaas
503,3919,rel_db,1,25,9,102.5,iaas
504,1446,nginx,2,36,28,576,iaas
505,1446,framework,1,33,9,602.5,iaas
506,1446,rel_db,1,25,9,102.5,iaas
507,1125,nginx,2,36,28,576,iaas
508,1125,framework,1,33,9,602.5,iaas
509,1125,rel_db,1,25,9,102.5,iaas
510,4572,nginx,5,90,70,1440,iaas
511,4572,framework,1,33,9,602.5,iaas
512,4572,rel_db,1,25,9,102.5,iaas
513,1165,nginx,2,36,28,576,iaas
514,1165,framework,1,33,9,602.5,iaas
515,1165,rel_db,1,25,9,102.5,iaas
516,1321,nginx,2,36,28,576,iaas
517,1321,framework,1,33,9,602.5,iaas
518,1321,rel_db,1,25,9,102.5,iaas
519,1955,nginx,2,36,28,576,iaas
520,1955,framework,1,33,9,602.5,iaas
521,1955,rel_db,1,25,9,102.5,iaas
522,3903,nginx,4,72,56,1152,iaas
523,3903,framework,1,33,9,602.5,iaas
524,3903,rel_db,1,25,9,102.5,iaas
525,4362,nginx,5,90,70,1440,iaas
526,4362,framework,1,33,9,602.5,iaas
527,4362,rel_db,1,25,9,102.5,iaas
528,2791,nginx,3,54,42,864,iaas
529,2791,framework,1,33,9,602.5,iaas
530,2791,rel_db,1,25,9,102.5,iaas
531,4302,nginx,5,90,70,1440,iaas
532,4302,framework,1,33,9,602.5,iaas
533,4302,rel_db,1,25,9,102.5,iaas
534,3781,nginx,4,72,56,1152,iaas
535,3781,framework,1,33,9,602.5,iaas
536,3781,rel_db,1,25,9,102.5,iaas
537,2920,nginx,3,54,42,864,iaas
538,2920,framework,1,33,9,602.5,iaas
539,2920,rel_db,1,25,9,102.5,iaas
540,3318,nginx,4,72,56,1152,iaas
541,3318,framework,1,33,9,602.5,iaas
542,3318,rel_db,1,25,9,102.5,iaas
543,2762,nginx,3,54,42,864,iaas
544,2762,framework,1,33,9,602.5,iaas
545,2762,rel_db,1,25,9,102.5,iaas
546,1593,nginx,2,36,28,576,iaas
547,1593,framework,1,33,9,602.5,iaas
548,1593,rel_db,1,25,9,102.5,iaas
549,2335,nginx,3,54,42,864,iaas
550,2335,framework,1,33,9,602.5,iaas
551,2335,rel_db,1,25,9,102.5,iaas
552,4901,nginx,5,90,70,1440,iaas
553,4901,framework,1,33,9,602.5,iaas
554,4901,rel_db,1,25,9,102.5,iaas
555,1352,nginx,2,36,28,576,iaas
556,1352,framework,1,33,9,602.5,iaas
557,1352,rel_db,1,25,9,102.5,iaas
558,3223,nginx,4,72,56,1152,iaas
559,3223,framework,1,33,9,602.5,iaas
560,3223,rel_db,1,25,9,102.5,iaas
561,3838,nginx,4,72,56,1152,iaas
562,3838,framework,1,33,9,602.5,iaas
563,3838,rel_db,1,25,9,102.5,iaas
564,4343,nginx,5,90,70,1440,iaas
565,4343,framework,1,33,9,602.5,iaas
566,4343,rel_db,1,25,9,102.5,iaas
567,1757,nginx,2,36,28,576,iaas
568,1757,framework,1,33,9,602.5,iaas
569,1757,rel_db,1,25,9,102.5,iaas
570,3757,nginx,4,72,56,1152,iaas
571,3757,framework,1,33,9,602.5,iaas
572,3757,rel_db,1,25,9,102.5,iaas
573,2821,nginx,3,54,42,864,iaas
574,2821,framework,1,33,9,602.5,iaas
575,2821,rel_db,1,25,9,102.5,iaas
576,2425,nginx,3,54,42,864,iaas
577,2425,framework,1,33,9,602.5,iaas
578,2425,rel_db,1,25,9,102.5,iaas
579,2710,nginx,3,54,42,864,iaas
580,2710,framework,1,33,9,602.5,iaas
581,2710,rel_db,1,25,9,102.5,iaas
582,4083,nginx,4,72,56,1152,iaas
583,4083,framework,1,33,9,602.5,iaas
584,4083,rel_db,1,25,9,102.5,iaas
585,4269,nginx,5,90,70,1440,iaas
586,4269,framework,1,33,9,602.5,iaas
587,4269,rel_db,1,25,9,102.5,iaas
588,2787,nginx,3,54,42,864,iaas
589,2787,framework,1,33,9,602.5,iaas
590,2787,rel_db,1,25,9,102.5,iaas
591,2601,nginx,3,54,42,864,iaas
592,2601,framework,1,33,9,602.5,iaas
593,2601,rel_db,1,25,9,102.5,iaas
594,1851,nginx,2,36,28,576,iaas
595,1851,framework,1,33,9,602.5,iaas
596,1851,rel_db,1,25,9,102.5,iaas
597,2357,nginx,3,54,42,864,iaas
598,2357,framework,1,33,9,602.5,iaas
599,2357,rel_db,1,25,9,102.5,iaas
600,9627,nginx,10,180,140,2880,iaas
601,9627,framework,1,33,9,602.5,iaas
602,9627,rel_db,2,50,18,205.0,iaas
603,5442,nginx,6,108,84,1728,iaas
604,5442,framework,1,33,9,602.5,iaas
605,5442,rel_db,2,50,18,205.0,iaas
606,9033,nginx,9,162,126,2592,iaas
607,9033,framework,1,33,9,602.5,iaas
608,9033,rel_db,2,50,18,205.0,iaas
609,5501,nginx,6,108,84,1728,iaas
610,5501,framework,1,33,9,602.5,iaas
611,5501,rel_db,2,50,18,205.0,iaas
612,7562,nginx,8,144,112,2304,iaas
613,7562,framework,1,33,9,602.5,iaas
614,7562,rel_db,2,50,18,205.0,iaas
615,7764,nginx,8,144,112,2304,iaas
616,7764,framework,1,33,9,602.5,iaas
617,7764,rel_db,2,50,18,205.0,iaas
618,8821,nginx,9,162,126,2592,iaas
619,8821,framework,1,33,9,602.5,iaas
620,8821,rel_db,2,50,18,205.0,iaas
621,9246,nginx,10,180,140,2880,iaas
622,9246,framework,1,33,9,602.5,iaas
623,9246,rel_db,2,50,18,205.0,iaas
624,7128,nginx,7,126,98,2016,iaas
625,7128,framework,1,33,9,602.5,iaas
626,7128,rel_db,2,50,18,205.0,iaas
627,7096,nginx,7,126,98,2016,iaas
628,7096,framework,1,33,9,602.5,iaas
629,7096,rel_db,2,50,18,205.0,iaas
630,7273,nginx,8,144,112,2304,iaas
631,7273,framework,1,33,9,602.5,iaas
632,7273,rel_db,2,50,18,205.0,iaas
633,5553,nginx,6,108,84,1728,iaas
